tax	barcode01	barcode02	barcode03	total
Bacteria;Bacillati;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella	3129.0	3317.0	3272.0	9718.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	2432.0	2508.0	2465.0	7405.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium	2119.0	2343.0	2134.0	6596.0
Unclassified;Unknown;Unknown;Unknown;Unknown;Unknown;Unknown	2288.0	1927.0	2189.0	6404.0
Bacteria;Pseudomonadati;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	1000.0	1022.0	1008.0	3030.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Shigella	678.0	664.0	662.0	2004.0
Bacteria;Bacillati;Bacillota;Clostridia;Peptostreptococcales;Peptostreptococcaceae;Clostridioides	626.0	630.0	593.0	1849.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	614.0	586.0	584.0	1784.0
Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	315.0	326.0	299.0	940.0
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	281.0	286.0	285.0	852.0
Bacteria;Fusobacteriati;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium	277.0	256.0	285.0	818.0
Bacteria;Bacillati;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus	122.0	152.0	107.0	381.0
Bacteria;Pseudomonadati;Verrucomicrobiota;Verrucomicrobiia;Verrucomicrobiales;Akkermansiaceae;Akkermansia	92.0	107.0	104.0	303.0
Bacteria;Pseudomonadati;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella	1.0	1.0	0.0	2.0
Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium	0.0	1.0	0.0	1.0
